#;id;uid;code;name;email;address;officePhone;contactPerson;mobilePhone;status;createdBy;createdAt;updatedBy;updatedAt;deletedBy;deletedAt
1;1;clxhrmzha00013vp0ufurvnfb;c93f0996-f79d-4172-846b-e1bc313c9310;CUSTOMER 0001;cust0001@mail.com;Cust 0001 Addr;off Cust 0001;pic cust 0001;mp cust 0001;1;;2024-06-16 16:33:30.143;;2024-06-16 16:33:30.143;;
;2;185964f4-0fc1-48db-b2ba-7465e5f1a79a;185964f4-0fc1-48db-b2ba-7465e5f1a79a;CUSTOMER 0002;cust0002@mail.com;Cust 0002 Addr;off Cust 0002;pic cust 0002;mp cust 0002;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;3;b1ad988c-39c6-4599-8a82-05749e62d578;c93f0996-f79d-4172-846b-e1bc313c9311;CUSTOMER 0003;cust0003@mail.com;Cust 0003 Addr;off Cust 0003;pic cust 0003;mp cust 0003;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;4;e7408adf-7458-416d-9930-ebaafaa6cb57;e7408adf-7458-416d-9930-ebaafaa6cb57;CUSTOMER 0004;cust0004@mail.com;Cust 0004 Addr;off Cust 0004;pic cust 0004;mp cust 0004;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;5;dd648d6d-9a5c-443c-965c-45db7561b48b;c93f0996-f79d-4172-846b-e1bc313c9312;CUSTOMER 0005;cust0005@mail.com;Cust 0005 Addr;off Cust 0005;pic cust 0005;mp cust 0005;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;6;2697d791-8266-47de-97a1-09d68c041a0c;2697d791-8266-47de-97a1-09d68c041a0c;CUSTOMER 0006;cust0006@mail.com;Cust 0006 Addr;off Cust 0006;pic cust 0006;mp cust 0006;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;7;01af95ab-6acf-4047-b355-09fd31509f86;c93f0996-f79d-4172-846b-e1bc313c9313;CUSTOMER 0007;cust0007@mail.com;Cust 0007 Addr;off Cust 0007;pic cust 0007;mp cust 0007;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;8;4f88c491-e1fd-4d0c-b082-761de0ef3afd;4f88c491-e1fd-4d0c-b082-761de0ef3afd;CUSTOMER 0008;cust0008@mail.com;Cust 0008 Addr;off Cust 0008;pic cust 0008;mp cust 0008;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;9;564ce6a9-eb41-4f00-9e6e-4951cda03894;c93f0996-f79d-4172-846b-e1bc313c9314;CUSTOMER 0009;cust0009@mail.com;Cust 0009 Addr;off Cust 0009;pic cust 0009;mp cust 0009;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
;10;f70e9dab-ccc0-45ff-a679-fb734ed21efc;f70e9dab-ccc0-45ff-a679-fb734ed21efc;CUSTOMER 0010;cust0010@mail.com;Cust 0010 Addr;off Cust 0010;pic cust 0010;mp cust 0010;1;1;16/06/2024 23:38;1;16/06/2024 23:38;;
