#;id;uid;code;name;address;officePhone;contactPerson;mobilePhone;status;createdBy;createdAt;updatedBy;updatedAt;deletedBy;deletedAt;email
1;1;clxhpk3fp0001cmube5133ci5;d25106da-1e92-4ed7-9dd5-0664ce98cdab;Luqito Masdar Hilal;Villa Nusa Indah, Cluster Nuri, Blok SD 5 No 11;081807278131;Luqito Masdar Hilal;081807278131;1;;2024-06-16 15:35:16.056;;2024-06-16 15:35:16.056;;;hilal.lucky@gmail.com
;;391e25a2-e78f-4b12-b97f-976246ebc9c9;391e25a2-e78f-4b12-b97f-976246ebc9c9;Supp-0001;Supp-Addr-0001;ofPhone-Supp-0001;pic-Supp-0001;mp_Supp-0001;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0001@mail.com
;;70c2d33e-3bc1-42ce-aa31-eda9defeed12;70c2d33e-3bc1-42ce-aa31-eda9defeed12;Supp-0002;Supp-Addr-0002;ofPhone-Supp-0002;pic-Supp-0002;mp_Supp-0002;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0002@mail.com
;;a667d8b5-e301-49e8-baef-fb702860af49;a667d8b5-e301-49e8-baef-fb702860af49;Supp-0003;Supp-Addr-0003;ofPhone-Supp-0003;pic-Supp-0003;mp_Supp-0003;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0003@mail.com
;;27ef37c8-9747-4ac0-9984-cd0a8f181110;27ef37c8-9747-4ac0-9984-cd0a8f181110;Supp-0004;Supp-Addr-0004;ofPhone-Supp-0004;pic-Supp-0004;mp_Supp-0004;0;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0004@mail.com
;;8e730112-76b1-4b95-8c47-d5b856d8df3c;8e730112-76b1-4b95-8c47-d5b856d8df3c;Supp-0005;Supp-Addr-0005;ofPhone-Supp-0005;pic-Supp-0005;mp_Supp-0005;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0005@mail.com
;;9b5f982f-15f9-4e9f-a6a5-62f564aef94a;9b5f982f-15f9-4e9f-a6a5-62f564aef94a;Supp-0006;Supp-Addr-0006;ofPhone-Supp-0006;pic-Supp-0006;mp_Supp-0006;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0006@mail.com
;;fdbe6b8c-b383-41b4-8a7b-c67393a0aa3a;fdbe6b8c-b383-41b4-8a7b-c67393a0aa3a;Supp-0007;Supp-Addr-0007;ofPhone-Supp-0007;pic-Supp-0007;mp_Supp-0007;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0007@mail.com
;;da12e0e8-b668-4798-b75a-1a732f92ab61;da12e0e8-b668-4798-b75a-1a732f92ab61;Supp-0008;Supp-Addr-0008;ofPhone-Supp-0008;pic-Supp-0008;mp_Supp-0008;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0008@mail.com
;;d994f051-80f8-43b6-8b6f-f180cbfe7741;d994f051-80f8-43b6-8b6f-f180cbfe7741;Supp-0009;Supp-Addr-0009;ofPhone-Supp-0009;pic-Supp-0009;mp_Supp-0009;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0009@mail.com
;;aec54eaa-ab2d-41a5-8960-48f0b0c006a9;aec54eaa-ab2d-41a5-8960-48f0b0c006a9;Supp-0010;Supp-Addr-0010;ofPhone-Supp-0010;pic-Supp-0010;mp_Supp-0010;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0010@mail.com
;;bde92188-ffee-456f-9bb2-68058447e7ae;bde92188-ffee-456f-9bb2-68058447e7ae;Supp-0011;Supp-Addr-0011;ofPhone-Supp-0011;pic-Supp-0011;mp_Supp-0011;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0011@mail.com
;;691e0859-e56d-4264-a72c-be9dd8b80f0e;691e0859-e56d-4264-a72c-be9dd8b80f0e;Supp-0012;Supp-Addr-0012;ofPhone-Supp-0012;pic-Supp-0012;mp_Supp-0012;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0012@mail.com
;;7fc0f3a1-381f-445f-be85-73c31ccc6628;7fc0f3a1-381f-445f-be85-73c31ccc6628;Supp-0013;Supp-Addr-0013;ofPhone-Supp-0013;pic-Supp-0013;mp_Supp-0013;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0013@mail.com
;;e0d9d8fd-d222-42a3-93fb-82ae3e8023b7;e0d9d8fd-d222-42a3-93fb-82ae3e8023b7;Supp-0014;Supp-Addr-0014;ofPhone-Supp-0014;pic-Supp-0014;mp_Supp-0014;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0014@mail.com
;;4016cd75-ee0e-4761-8da2-ae2244bf19fc;4016cd75-ee0e-4761-8da2-ae2244bf19fc;Supp-0015;Supp-Addr-0015;ofPhone-Supp-0015;pic-Supp-0015;mp_Supp-0015;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0015@mail.com
;;98d0b5fb-74ad-4f98-8fd2-765f08a49f8d;98d0b5fb-74ad-4f98-8fd2-765f08a49f8d;Supp-0016;Supp-Addr-0016;ofPhone-Supp-0016;pic-Supp-0016;mp_Supp-0016;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0016@mail.com
;;dacbf0b2-57ce-4d3b-9ff3-98de946b3043;dacbf0b2-57ce-4d3b-9ff3-98de946b3043;Supp-0017;Supp-Addr-0017;ofPhone-Supp-0017;pic-Supp-0017;mp_Supp-0017;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0017@mail.com
;;f19db363-d719-450a-8aad-3b6fb5ffe81d;f19db363-d719-450a-8aad-3b6fb5ffe81d;Supp-0018;Supp-Addr-0018;ofPhone-Supp-0018;pic-Supp-0018;mp_Supp-0018;1;1;16/06/2024 22:47;1;16/06/2024 22:47;;;supp-0018@mail.com
